Tanggal,Close_interpolated
2024-01-01,98.829790639568
2024-01-02,93.96053271127087
2024-01-03,90.56473421248843
2024-01-04,87.31045835908034
2024-01-05,85.24686682587104
2024-01-06,84.39272191375953
2024-01-07,82.42846693326035
2024-01-08,76.80629721337436
2024-01-09,75.63133304323523
2024-01-10,69.01270471551854
2024-01-11,64.80495649335407
2024-01-12,61.40702688708341
2024-01-13,60.83295384378922
2024-01-14,58.0618666317474
2024-01-15,53.428871341084545
2024-01-16,50.0670318940288
2024-01-17,49.517745295381864
2024-01-18,47.74633700578812
2024-01-19,47.6200344520212
2024-01-20,46.669274396784296
2024-01-21,44.66013832242556
2024-01-22,42.09387623665717
2024-01-23,38.28063583979772
2024-01-24,35.93077595575615
2024-01-25,27.185231747504154
2024-01-26,21.93287665609279
2024-01-27,19.741405199138924
2024-01-28,20.60824228048659
2024-01-29,17.55120363908491
2024-01-30,16.08480322919987
2024-01-31,12.796885925966857
2024-02-01,7.927627997669727
2024-02-02,4.5318294988872845
2024-02-03,1.277553645479201
2024-02-04,-0.7860378877300995
2024-02-05,-1.6401827998416123
2024-02-06,-3.604437780340783
2024-02-07,-9.226607500226779
2024-02-08,-10.401571670365907
2024-02-09,-17.0201999980826
2024-02-10,-21.227948220247065
2024-02-11,-24.625877826517726
2024-02-12,-25.19995086981192
2024-02-13,-27.971038081853745
2024-02-14,-32.60403337251658
2024-02-15,-35.965872819572326
2024-02-16,-36.51515941821926
2024-02-17,-38.286567707813035
2024-02-18,-38.412870261579954
2024-02-19,-39.36363031681686
2024-02-20,-41.37276639117559
2024-02-21,-43.939028476943975
2024-02-22,-47.75226887380344
2024-02-23,-50.102128757844994
2024-02-24,-58.84767296609699
2024-02-25,-64.10002805750835
2024-02-26,-66.29149951446222
2024-02-27,-65.42466243311455
2024-02-28,-68.48170107451622
2024-02-29,-69.94810148440126
2024-03-01,-73.23601878763428
2024-03-02,-78.10527671593141
2024-03-03,-81.50107521471385
2024-03-04,-84.75535106812194
2024-03-05,-86.81894260133124
2024-03-06,-87.67308751344275
2024-03-07,-89.63734249394193
2024-03-08,-95.25951221382792
2024-03-09,-96.43447638396705
2024-03-10,-103.05310471168374
2024-03-11,-107.2608529338482
2024-03-12,-110.65878254011885
2024-03-13,-111.23285558341304
2024-03-14,-114.00394279545488
2024-03-15,-118.63693808611772
2024-03-16,-121.99877753317347
2024-03-17,-122.5480641318204
2024-03-18,-124.31947242141415
2024-03-19,-124.44577497518107
2024-03-20,-125.39653503041798
2024-03-21,-127.40567110477673
2024-03-22,-129.97193319054512
2024-03-23,-133.78517358740459
2024-03-24,-136.13503347144612
2024-03-25,-144.88057767969812
2024-03-26,-150.1329327711095
2024-03-27,-152.32440422806334
2024-03-28,-151.4575671467157
2024-03-29,-154.51460578811736
2024-03-30,-155.98100619800238
2024-03-31,-159.26892350123543
2024-04-01,-164.13818142953252
2024-04-02,-167.533979928315
2024-04-03,-170.78825578172305
2024-04-04,-172.85184731493237
2024-04-05,-173.70599222704394
2024-04-06,-175.67024720754307
2024-04-07,-181.2924169274291
2024-04-08,-182.4673810975682
2024-04-09,-189.0860094252849
2024-04-10,-193.29375764744933
2024-04-11,-196.69168725372003
2024-04-12,-197.2657602970142
2024-04-13,-200.03684750905603
2024-04-14,-204.66984279971888
2024-04-15,-208.03168224677464
2024-04-16,-208.58096884542155
2024-04-17,-210.3523771350153
2024-04-18,-210.4786796887822
2024-04-19,-211.42943974401913
2024-04-20,-213.43857581837784
2024-04-21,-216.00483790414626
2024-04-22,-219.8180783010057
