,Close_ARIMA
2023-05-27,26579.79666320697
2023-05-28,26649.24171758049
2023-05-29,26705.542021838617
2023-05-30,26705.59549059136
2023-05-31,26745.041209127623
2023-06-01,26777.10546011121
2023-06-02,26801.645453392568
2023-06-03,26833.19099943963
2023-06-04,26862.6585785482
2023-06-05,26891.268759550454
2023-06-06,26921.059072223874
2023-06-07,26950.372726473193
2023-06-08,26979.621483258255
2023-06-09,27009.058163812504
2023-06-10,27038.39682629663
2023-06-11,27067.73904722603
2023-06-12,27097.109293152826
2023-06-13,27126.460835250877
2023-06-14,27155.81547510855
2023-06-15,27185.173943256053
2023-06-16,27214.529050129564
2023-06-17,27243.885086669583
2023-06-18,27273.241576896377
2023-06-19,27302.597495108723
2023-06-20,27331.953632596153
2023-06-21,27361.30980892921
2023-06-22,27390.665893164307
2023-06-23,27420.022023262656
2023-06-24,27449.378152982525
2023-06-25,27478.734268781125
2023-06-26,27508.09039344189
2023-06-27,27537.446516833268
2023-06-28,27566.80263828612
2023-06-29,27596.15876134864
2023-06-30,27625.51488399844
2023-07-01,27654.87100641057
2023-07-02,27684.227129099418
2023-07-03,27713.583251687804
2023-07-04,27742.93937425387
2023-07-05,27772.295496864972
2023-07-06,27801.651619454675
2023-07-07,27831.00774204392
2023-07-08,27860.363864640058
2023-07-09,27889.719987232005
2023-07-10,27919.076109824455
2023-07-11,27948.432232417887
2023-07-12,27977.788355010547
2023-07-13,28007.14447760339
2023-07-14,28036.500600196356
2023-07-15,28065.856722789187
2023-07-16,28095.212845382066
2023-07-17,28124.568967974956
2023-07-18,28153.925090567824
2023-07-19,28183.281213160702
2023-07-20,28212.63733575358
2023-07-21,28241.993458346456
2023-07-22,28271.349580939335
2023-07-23,28300.70570353221
2023-07-24,28330.061826125086
2023-07-25,28359.41794871796
2023-07-26,28388.774071310836
2023-07-27,28418.13019390371
2023-07-28,28447.486316496586
2023-07-29,28476.84243908946
2023-07-30,28506.198561682337
2023-07-31,28535.554684275212
2023-08-01,28564.910806868087
2023-08-02,28594.266929460962
2023-08-03,28623.623052053837
2023-08-04,28652.979174646713
2023-08-05,28682.335297239588
