Tanggal,High_interpolated
2024-01-01,42817.3906905275
2024-01-02,42899.4603009655
2024-01-03,42932.27432717491
2024-01-04,42984.402011419064
2024-01-05,43028.95659725164
2024-01-06,43076.48067852875
2024-01-07,43122.8403878783
2024-01-08,43169.65666030768
2024-01-09,43216.29390931599
2024-01-10,43263.00135538295
2024-01-11,43309.68127640869
2024-01-12,43356.37199030679
2024-01-13,43403.05847220056
2024-01-14,43449.74661350992
2024-01-15,43496.434104144115
2024-01-16,43543.121849915224
2024-01-17,43589.80949564434
2024-01-18,43636.497180601014
2024-01-19,43683.184850176134
2024-01-20,43729.872525782535
2024-01-21,43776.560199024
2024-01-22,43823.247873192784
2024-01-23,43869.93554699796
2024-01-24,43916.6232209457
2024-01-25,43963.31089483754
2024-01-26,44009.9985687513
2024-01-27,44056.68624265648
2024-01-28,44103.37391656501
2024-01-29,44150.06159047223
2024-01-30,44196.74926437996
2024-01-31,44243.436938287494
2024-02-01,44290.124612195104
2024-02-02,44336.812286102686
2024-02-03,44383.49996001028
2024-02-04,44430.18763391787
2024-02-05,44476.87530782546
2024-02-06,44523.56298173305
2024-02-07,44570.25065564064
2024-02-08,44616.938329548226
2024-02-09,44663.626003455814
2024-02-10,44710.3136773634
2024-02-11,44757.00135127099
2024-02-12,44803.68902517858
2024-02-13,44850.37669908617
2024-02-14,44897.06437299376
2024-02-15,44943.75204690135
2024-02-16,44990.439720808936
2024-02-17,45037.127394716525
2024-02-18,45083.81506862411
2024-02-19,45130.5027425317
2024-02-20,45177.19041643929
2024-02-21,45223.87809034688
2024-02-22,45270.56576425447
2024-02-23,45317.25343816206
2024-02-24,45363.941112069646
2024-02-25,45410.628785977235
2024-02-26,45457.31645988482
2024-02-27,45504.00413379241
2024-02-28,45550.6918077
2024-02-29,45597.37948160759
2024-03-01,45644.06715551518
2024-03-02,45690.75482942277
2024-03-03,45737.442503330356
2024-03-04,45784.130177237945
2024-03-05,45830.81785114553
2024-03-06,45877.50552505312
2024-03-07,45924.19319896071
2024-03-08,45970.8808728683
2024-03-09,46017.56854677589
2024-03-10,46064.25622068348
2024-03-11,46110.943894591066
2024-03-12,46157.631568498655
2024-03-13,46204.31924240624
2024-03-14,46251.00691631383
2024-03-15,46297.69459022142
2024-03-16,46344.38226412901
2024-03-17,46391.0699380366
2024-03-18,46437.75761194419
2024-03-19,46484.445285851776
2024-03-20,46531.132959759365
2024-03-21,46577.820633666954
2024-03-22,46624.50830757454
2024-03-23,46671.19598148213
2024-03-24,46717.88365538972
2024-03-25,46764.57132929731
2024-03-26,46811.2590032049
2024-03-27,46857.946677112486
2024-03-28,46904.634351020075
2024-03-29,46951.322024927664
2024-03-30,46998.00969883525
2024-03-31,47044.69737274284
2024-04-01,47091.38504665043
2024-04-02,47138.07272055802
2024-04-03,47184.76039446561
2024-04-04,47231.448068373196
2024-04-05,47278.135742280785
2024-04-06,47324.823416188374
2024-04-07,47371.51109009596
2024-04-08,47418.19876400355
2024-04-09,47464.88643791114
2024-04-10,47511.57411181873
2024-04-11,47558.26178572632
2024-04-12,47604.94945963391
2024-04-13,47651.637133541495
2024-04-14,47698.324807449084
2024-04-15,47745.01248135667
2024-04-16,47791.70015526426
2024-04-17,47838.38782917185
2024-04-18,47885.07550307944
2024-04-19,47931.76317698703
2024-04-20,47978.45085089462
2024-04-21,48025.138524802205
2024-04-22,48071.826198709794
2024-04-23,48118.51387261738
2024-04-24,48165.20154652497
2024-04-25,48211.88922043256
2024-04-26,48258.57689434015
2024-04-27,48305.26456824774
2024-04-28,48351.95224215533
2024-04-29,48398.639916062915
2024-04-30,48445.327589970504
2024-05-01,48492.01526387809
2024-05-02,48538.70293778568
2024-05-03,48585.39061169327
2024-05-04,48632.07828560086
2024-05-05,48678.76595950845
2024-05-06,48725.45363341604
2024-05-07,48772.141307323625
2024-05-08,48818.828981231214
2024-05-09,48865.5166551388
2024-05-10,48912.20432904639
2024-05-11,48958.89200295398
2024-05-12,49005.57967686157
2024-05-13,49052.26735076916
2024-05-14,49098.95502467675
2024-05-15,49145.642698584335
2024-05-16,49192.330372491924
2024-05-17,49239.01804639951
2024-05-18,49285.7057203071
2024-05-19,49332.39339421469
2024-05-20,49379.08106812228
2024-05-21,49425.76874202987
2024-05-22,49472.45641593746
2024-05-23,49519.144089845046
2024-05-24,49565.831763752634
2024-05-25,49612.51943766022
2024-05-26,49659.20711156781
2024-05-27,49705.8947854754
2024-05-28,49752.58245938299
2024-05-29,49799.27013329058
2024-05-30,49845.95780719817
2024-05-31,49892.645481105756
2024-06-01,49939.333155013344
2024-06-02,49986.02082892093
2024-06-03,50032.70850282852
2024-06-04,50079.39617673611
2024-06-05,50126.0838506437
2024-06-06,50172.77152455129
2024-06-07,50219.45919845888
2024-06-08,50266.146872366466
2024-06-09,50312.834546274054
2024-06-10,50359.52222018164
2024-06-11,50406.20989408923
2024-06-12,50452.89756799682
2024-06-13,50499.58524190441
2024-06-14,50546.272915812
2024-06-15,50592.96058971959
2024-06-16,50639.648263627176
2024-06-17,50686.335937534765
2024-06-18,50733.02361144235
2024-06-19,50779.71128534994
2024-06-20,50826.39895925753
2024-06-21,50873.08663316512
2024-06-22,50919.77430707271
2024-06-23,50966.4619809803
2024-06-24,51013.149654887886
2024-06-25,51059.837328795475
2024-06-26,51106.52500270306
2024-06-27,51153.21267661065
2024-06-28,51199.90035051824
2024-06-29,51246.58802442583
2024-06-30,51293.27569833342
2024-07-01,51339.96337224101
2024-07-02,51386.651046148596
2024-07-03,51433.338720056185
2024-07-04,51480.02639396377
2024-07-05,51526.71406787136
2024-07-06,51573.40174177895
2024-07-07,51620.08941568654
2024-07-08,51666.77708959413
2024-07-09,51713.46476350172
2024-07-10,51760.152437409306
2024-07-11,51806.840111316895
2024-07-12,51853.52778522448
2024-07-13,51900.21545913207
2024-07-14,51946.90313303966
2024-07-15,51993.59080694725
2024-07-16,52040.27848085484
2024-07-17,52086.96615476243
2024-07-18,52133.653828670016
2024-07-19,52180.341502577605
2024-07-20,52227.02917648519
2024-07-21,52273.71685039278
2024-07-22,52320.40452430037
2024-07-23,52367.09219820796
2024-07-24,52413.77987211555
2024-07-25,52460.46754602314
2024-07-26,52507.155219930726
2024-07-27,52553.842893838315
2024-07-28,52600.530567745904
2024-07-29,52647.21824165349
2024-07-30,52693.90591556108
2024-07-31,52740.59358946867
2024-08-01,52787.28126337626
2024-08-02,52833.96893728385
2024-08-03,52880.656611191436
2024-08-04,52927.344285099025
2024-08-05,52974.031959006614
2024-08-06,53020.7196329142
2024-08-07,53067.40730682179
2024-08-08,53114.09498072938
2024-08-09,53160.78265463697
2024-08-10,53207.47032854456
2024-08-11,53254.158002452146
2024-08-12,53300.845676359735
2024-08-13,53347.533350267324
2024-08-14,53394.22102417491
2024-08-15,53440.9086980825
2024-08-16,53487.59637199009
2024-08-17,53534.28404589768
2024-08-18,53580.97171980527
2024-08-19,53627.65939371286
2024-08-20,53674.347067620445
2024-08-21,53721.034741528034
2024-08-22,53767.72241543562
2024-08-23,53814.41008934321
2024-08-24,53861.0977632508
2024-08-25,53907.78543715839
2024-08-26,53954.47311106598
2024-08-27,54001.16078497357
2024-08-28,54047.848458881155
2024-08-29,54094.536132788744
2024-08-30,54141.22380669633
2024-08-31,54187.91148060392
2024-09-01,54234.59915451151
2024-09-02,54281.2868284191
2024-09-03,54327.97450232669
2024-09-04,54374.66217623428
2024-09-05,54421.349850141865
2024-09-06,54468.037524049454
2024-09-07,54514.72519795704
2024-09-08,54561.41287186463
2024-09-09,54608.10054577222
2024-09-10,54654.78821967981
2024-09-11,54701.4758935874
2024-09-12,54748.16356749499
2024-09-13,54794.851241402575
2024-09-14,54841.538915310164
2024-09-15,54888.22658921775
2024-09-16,54934.91426312534
2024-09-17,54981.60193703293
2024-09-18,55028.28961094052
2024-09-19,55074.97728484811
2024-09-20,55121.6649587557
2024-09-21,55168.352632663285
2024-09-22,55215.040306570874
2024-09-23,55261.72798047846
2024-09-24,55308.41565438605
2024-09-25,55355.10332829364
2024-09-26,55401.79100220123
2024-09-27,55448.47867610882
2024-09-28,55495.16635001641
2024-09-29,55541.854023923996
2024-09-30,55588.541697831584
2024-10-01,55635.22937173917
2024-10-02,55681.91704564676
2024-10-03,55728.60471955435
2024-10-04,55775.29239346194
2024-10-05,55821.98006736953
2024-10-06,55868.66774127712
2024-10-07,55915.355415184706
2024-10-08,55962.043089092294
2024-10-09,56008.73076299988
2024-10-10,56055.41843690747
2024-10-11,56102.10611081506
2024-10-12,56148.79378472265
2024-10-13,56195.48145863024
2024-10-14,56242.16913253783
2024-10-15,56288.856806445416
2024-10-16,56335.544480353004
2024-10-17,56382.23215426059
2024-10-18,56428.91982816818
2024-10-19,56475.60750207577
2024-10-20,56522.29517598336
2024-10-21,56568.98284989095
2024-10-22,56615.67052379854
2024-10-23,56662.358197706126
2024-10-24,56709.045871613715
2024-10-25,56755.7335455213
2024-10-26,56802.42121942889
2024-10-27,56849.10889333648
2024-10-28,56895.79656724407
2024-10-29,56942.48424115166
2024-10-30,56989.17191505925
2024-10-31,57035.859588966836
2024-11-01,57082.547262874425
2024-11-02,57129.23493678201
2024-11-03,57175.9226106896
2024-11-04,57222.61028459719
2024-11-05,57269.29795850478
2024-11-06,57315.98563241237
2024-11-07,57362.67330631996
2024-11-08,57409.360980227546
2024-11-09,57456.048654135135
2024-11-10,57502.73632804272
2024-11-11,57549.42400195031
2024-11-12,57596.1116758579
2024-11-13,57642.79934976549
2024-11-14,57689.48702367308
2024-11-15,57736.17469758067
2024-11-16,57782.862371488256
2024-11-17,57829.550045395845
2024-11-18,57876.23771930343
2024-11-19,57922.92539321102
2024-11-20,57969.61306711861
2024-11-21,58016.3007410262
2024-11-22,58062.98841493379
2024-11-23,58109.67608884138
2024-11-24,58156.363762748966
2024-11-25,58203.051436656555
2024-11-26,58249.73911056414
2024-11-27,58296.42678447173
2024-11-28,58343.11445837932
2024-11-29,58389.80213228691
2024-11-30,58436.4898061945
2024-12-01,58483.17748010209
2024-12-02,58529.865154009676
2024-12-03,58576.552827917265
2024-12-04,58623.240501824854
2024-12-05,58669.92817573244
2024-12-06,58716.61584964003
2024-12-07,58763.30352354762
2024-12-08,58809.99119745521
2024-12-09,58856.6788713628
2024-12-10,58903.366545270386
2024-12-11,58950.054219177975
2024-12-12,58996.741893085564
2024-12-13,59043.42956699315
2024-12-14,59090.11724090074
2024-12-15,59136.80491480833
2024-12-16,59183.49258871592
2024-12-17,59230.18026262351
2024-12-18,59276.867936531096
2024-12-19,59323.555610438685
2024-12-20,59370.243284346274
2024-12-21,59416.93095825386
2024-12-22,59463.61863216145
2024-12-23,59510.30630606904
2024-12-24,59556.99397997663
2024-12-25,59603.68165388422
2024-12-26,59650.36932779181
2024-12-27,59697.057001699395
2024-12-28,59743.744675606984
2024-12-29,59790.43234951457
2024-12-30,59837.12002342216
2024-12-31,59883.80769732975
