Tanggal,High_interpolated
2024-01-01,43389.934786441474
2024-01-02,42924.02414500041
2024-01-03,43611.75930650491
2024-01-04,43906.96839993062
2024-01-05,42890.452486284674
2024-01-06,42094.146541372946
2024-01-07,41650.455340705696
2024-01-08,41151.516028507736
2024-01-09,40192.10079010908
2024-01-10,39445.226927308555
2024-01-11,38035.63446301895
2024-01-12,38555.41406426137
2024-01-13,38076.0813954536
2024-01-14,38198.726034784544
2024-01-15,37665.84331458074
2024-01-16,37120.935508725226
2024-01-17,37258.17697892484
2024-01-18,37774.73356641872
2024-01-19,38174.42114295043
2024-01-20,37854.79561510051
2024-01-21,38231.90038667727
2024-01-22,37961.01290726674
2024-01-23,37999.96930853615
2024-01-24,37608.75905200151
2024-01-25,37298.7792655013
2024-01-26,37204.22390455051
2024-01-27,37346.40232345767
2024-01-28,36831.15370081343
2024-01-29,36398.419852584804
2024-01-30,37108.59927648516
2024-01-31,37111.78867322151
2024-02-01,36645.87803178044
2024-02-02,37333.613193284946
2024-02-03,37628.82228671065
2024-02-04,36612.30637306471
2024-02-05,35816.00042815298
2024-02-06,35372.309227485726
2024-02-07,34873.36991528777
2024-02-08,33913.95467688911
2024-02-09,33167.08081408859
2024-02-10,31757.48834979898
2024-02-11,32277.267951041405
2024-02-12,31797.93528223363
2024-02-13,31920.579921564582
2024-02-14,31387.697201360774
2024-02-15,30842.789395505264
2024-02-16,30980.030865704874
2024-02-17,31496.587453198757
2024-02-18,31896.275029730466
2024-02-19,31576.649501880544
2024-02-20,31953.754273457303
2024-02-21,31682.866794046768
2024-02-22,31721.823195316185
2024-02-23,31330.612938781534
2024-02-24,31020.63315228134
2024-02-25,30926.077791330543
2024-02-26,31068.2562102377
2024-02-27,30553.00758759346
2024-02-28,30120.273739364835
2024-02-29,30830.4531632652
2024-03-01,30833.642560001543
2024-03-02,30367.731918560476
2024-03-03,31055.46708006498
2024-03-04,31350.676173490687
2024-03-05,30334.160259844746
2024-03-06,29537.854314933007
2024-03-07,29094.163114265768
2024-03-08,28595.223802067798
2024-03-09,27635.808563669147
2024-03-10,26888.934700868624
2024-03-11,25479.342236579014
2024-03-12,25999.121837821436
2024-03-13,25519.789169013664
2024-03-14,25642.433808344616
2024-03-15,25109.551088140808
2024-03-16,24564.6432822853
2024-03-17,24701.884752484904
2024-03-18,25218.44133997879
