,Low_ARIMA
2023-05-27,26405.09998028964
2023-05-28,26456.20823828775
2023-05-29,26515.14788336975
2023-05-30,26566.756470396234
2023-05-31,26623.904841436757
2023-06-01,26675.675877032136
2023-06-02,26731.337943619408
2023-06-03,26783.030778070766
2023-06-04,26837.428759753853
2023-06-05,26888.872719468374
2023-06-06,26942.169216205635
2023-06-07,26993.2439793699
2023-06-08,27045.558627177415
2023-06-09,27096.18009363083
2023-06-10,27147.601558016664
2023-06-11,27197.711675251452
2023-06-12,27248.306287596133
2023-06-13,27297.865725377338
2023-06-14,27347.68370204707
2023-06-15,27396.66657818772
2023-06-16,27445.746499077803
2023-06-17,27494.136582151303
2023-06-18,27542.50861591877
2023-06-19,27590.296591440485
2023-06-20,27637.984818278986
2023-06-21,27685.166320637603
2023-06-22,27732.190405227913
2023-06-23,27778.764600992585
2023-06-24,27825.140997538525
2023-06-25,27871.109565780796
2023-06-26,27916.852386115635
2023-06-27,27962.218784598103
2023-06-28,28007.340423677815
2023-06-29,28052.10936087679
2023-06-30,28096.620947573225
2023-07-01,28140.798002907668
2023-07-02,28184.70972500273
2023-07-03,28228.301075774405
2023-07-04,28271.62241436682
2023-07-05,28314.634639532993
2023-07-06,28357.374538211974
2023-07-07,28399.814477476553
2023-07-08,28441.98146451886
2023-07-09,28483.856117250638
2023-07-10,28525.458393986868
2023-07-11,28566.774846810353
2023-07-12,28607.82035162615
2023-07-13,28648.58572665324
2023-07-14,28689.082181441354
2023-07-15,28729.3035993606
2023-07-16,28769.258543331707
2023-07-17,28808.94309719089
2023-07-18,28848.36391157717
2023-07-19,28887.51864826095
2023-07-20,28926.412574457176
2023-07-21,28965.04448170075
2023-07-22,29003.418634675327
2023-07-23,29041.534632059702
2023-07-24,29079.39601035513
2023-07-25,29117.002943164727
2023-07-26,29154.35843643768
2023-07-27,29191.4630715744
2023-07-28,29228.319466359695
2023-07-29,29264.928489733265
2023-07-30,29301.29247392441
2023-07-31,29337.412488901275
2023-08-01,29373.290655302517
2023-08-02,29408.92818191258
2023-08-03,29444.327031118013
2023-08-04,29479.488505802714
2023-08-05,29514.41444858654
2023-08-06,29549.106224332503
2023-08-07,29583.565583683056
2023-08-08,29617.793930429125
2023-08-09,29651.792943322213
2023-08-10,29685.5640485592
2023-08-11,29719.108867539624
2023-08-12,29752.428837044736
2023-08-13,29785.52553166559
2023-08-14,29818.40039032976
2023-08-15,29851.05494848534
2023-08-16,29883.49064120351
2023-08-17,29915.708970381642
2023-08-18,29947.71136298439
2023-08-19,29979.499291456825
2023-08-20,30011.074171667948
2023-08-21,30042.43744963229
2023-08-22,30073.590528041146
2023-08-23,30104.53482872414
2023-08-24,30135.271739764943
2023-08-25,30165.802660494097
2023-08-26,30196.128963426432
2023-08-27,30226.252026675204
2023-08-28,30256.173206561733
2023-08-29,30285.89386097198
2023-08-30,30315.415329650546
2023-08-31,30344.738951035062
2023-09-01,30373.866048083124
2023-09-02,30402.797940410186
2023-09-03,30431.535934100244
2023-09-04,30460.081330461784
2023-09-05,30488.435418706787
2023-09-06,30516.599482271267
2023-09-07,30544.574793559415
2023-09-08,30572.36261851028
2023-09-09,30599.964212828738
2023-09-10,30627.3808252891
2023-09-11,30654.61369503645
2023-09-12,30681.664053980563
2023-09-13,30708.53312486778
2023-09-14,30735.222123019692
2023-09-15,30761.732254959636
2023-09-16,30788.06471967938
2023-09-17,30814.220707664783
2023-09-18,30840.201401822414
2023-09-19,30866.00797679243
2023-09-20,30891.641599630133
2023-09-21,30917.10342932548
2023-09-22,30942.39461730801
2023-09-23,30967.516307114893
2023-09-24,30992.469634768506
2023-09-25,31017.2557285513
2023-09-26,31041.875709291424
2023-09-27,31066.330690214345
2023-09-28,31090.6217771621
2023-09-29,31114.750068499965
2023-09-30,31138.716655287746
2023-10-01,31162.522621225908
2023-10-02,31186.169042792164
2023-10-03,31209.656989215815
2023-10-04,31232.987522589192
2023-10-05,31256.16169786213
2023-10-06,31279.180562935126
2023-10-07,31302.045158668137
2023-10-08,31324.756518960396
2023-10-09,31347.315670769378
2023-10-10,31369.7236341808
2023-10-11,31391.98142243476
2023-10-12,31414.090041988522
2023-10-13,31436.050492547616
2023-10-14,31457.863767123275
2023-10-15,31479.530852066957
2023-10-16,31501.052727123748
2023-10-17,31522.43036546921
2023-10-18,31543.664733759695
2023-10-19,31564.75679217071
2023-10-20,31585.707494444876
2023-10-21,31606.51778793118
2023-10-22,31627.18861363113
2023-10-23,31647.720906238465
2023-10-24,31668.11559418383
2023-10-25,31688.373599674735
2023-10-26,31708.49583873895
2023-10-27,31728.483221264498
2023-10-28,31748.33665104201
2023-10-29,31768.057025804563
2023-10-30,31787.645237269146
2023-10-31,31807.102171176244
2023-11-01,31826.42870733051
2023-11-02,31845.62571964003
2023-11-03,31864.694076156273
2023-11-04,31883.634639112974
2023-11-05,31902.448264965442
2023-11-06,31921.135804429014
2023-11-07,31939.698102517745
2023-11-08,31958.13599858244
2023-11-09,31976.450326348757
2023-11-10,31994.641913954772
2023-11-11,32012.711583988556
2023-11-12,32030.660153525245
2023-11-13,32048.488434164094
2023-11-14,32066.197232065093
2023-11-15,32083.787347985493
2023-11-16,32101.25957731594
2023-11-17,32118.61471011651
2023-11-18,32135.85353115238
2023-11-19,32152.976819929358
2023-11-20,32169.985350729083
2023-11-21,32186.879892644083
2023-11-22,32203.661209612525
2023-11-23,32220.330060452765
2023-11-24,32236.88719889766
2023-11-25,32253.33337362865
2023-11-26,32269.669328309617
2023-11-27,32285.895801620507
2023-11-28,32302.01352729072
2023-11-29,32318.023234132324
2023-11-30,32333.925646072963
2023-12-01,32349.72148218863
2023-12-02,32365.41145673616
2023-12-03,32380.996279185543
2023-12-04,32396.476654251986
2023-12-05,32411.8532819278
2023-12-06,32427.12685751403
2023-12-07,32442.29807165192
2023-12-08,32457.36761035412
2023-12-09,32472.336155035715
2023-12-10,32487.20438254505
2023-12-11,32501.972965194305
2023-12-12,32516.64257078993
2023-12-13,32531.213862662815
2023-12-14,32545.68749969831
2023-12-15,32560.06413636598
2023-12-16,32574.34442274925
2023-12-17,32588.52900457476
2023-12-18,32602.61852324157
2023-12-19,32616.613615850183
2023-12-20,32630.51491523134
2023-12-21,32644.32304997462
2023-12-22,32658.038644456894
2023-12-23,32671.66231887054
2023-12-24,32685.19468925149
2023-12-25,32698.636367507082
2023-12-26,32711.98796144374
2023-12-27,32725.250074794447
2023-12-28,32738.423307246045
2023-12-29,32751.508254466364
2023-12-30,32764.505508131144
2023-12-31,32777.41565595079
