,Low_TES
2023-05-27,26363.242769157823
2023-05-28,26800.04487943457
2023-05-29,27072.485465394326
2023-05-30,27106.424343282917
2023-05-31,26811.10823437673
2023-06-01,26599.425020130035
2023-06-02,26576.372340106747
2023-06-03,27059.584457367404
2023-06-04,27512.362572018552
2023-06-05,27604.925913306106
2023-06-06,27442.681159904027
2023-06-07,26484.614008653985
2023-06-08,26031.08481244978
2023-06-09,25765.390420136842
2023-06-10,26115.122370099845
2023-06-11,26350.48752997604
2023-06-12,27156.833410820516
2023-06-13,26805.969955007506
2023-06-14,26381.095310165172
2023-06-15,26106.050544110596
2023-06-16,26189.651184249527
2023-06-17,26342.2948059392
2023-06-18,26656.353175134653
2023-06-19,26688.474903055594
2023-06-20,26610.921731666393
2023-06-21,27089.45981751704
2023-06-22,27549.42035009448
2023-06-23,27566.83404094465
2023-06-24,27761.217409735105
2023-06-25,27657.229096681276
2023-06-26,28120.054766090863
2023-06-27,28556.85687636761
2023-06-28,28829.297462327366
2023-06-29,28863.236340215957
2023-06-30,28567.92023130977
2023-07-01,28356.23701706307
2023-07-02,28333.184337039784
2023-07-03,28816.39645430044
2023-07-04,29269.174568951592
2023-07-05,29361.737910239146
2023-07-06,29199.493156837067
2023-07-07,28241.426005587025
2023-07-08,27787.89680938282
2023-07-09,27522.202417069882
2023-07-10,27871.934367032885
2023-07-11,28107.29952690908
2023-07-12,28913.645407753553
2023-07-13,28562.781951940542
2023-07-14,28137.90730709821
2023-07-15,27862.862541043633
2023-07-16,27946.463181182567
2023-07-17,28099.10680287224
2023-07-18,28413.165172067693
2023-07-19,28445.286899988634
2023-07-20,28367.733728599433
2023-07-21,28846.27181445008
2023-07-22,29306.23234702752
2023-07-23,29323.64603787769
2023-07-24,29518.02940666814
2023-07-25,29414.041093614313
2023-07-26,29876.866763023903
2023-07-27,30313.66887330065
2023-07-28,30586.109459260406
2023-07-29,30620.048337148997
2023-07-30,30324.73222824281
2023-07-31,30113.04901399611
2023-08-01,30089.996333972824
2023-08-02,30573.20845123348
2023-08-03,31025.98656588463
2023-08-04,31118.549907172182
2023-08-05,30956.305153770103
2023-08-06,29998.238002520062
2023-08-07,29544.708806315855
2023-08-08,29279.014414002922
2023-08-09,29628.746363965925
2023-08-10,29864.11152384212
