Tanggal,Low_interpolated
2024-01-01,41935.679900068855
2024-01-02,41892.35241625877
2024-01-03,41833.01182794936
2024-01-04,41788.1545068769
2024-01-05,41731.396158893425
2024-01-06,41685.55581026362
2024-01-07,41630.890329057744
2024-01-08,41584.47401224474
2024-01-09,41531.53312486308
2024-01-10,41484.84335543754
2024-01-11,41433.34943216885
2024-01-12,41386.61052557142
2024-01-13,41336.353789234876
2024-01-14,41289.73157263646
2024-01-15,41240.553044600834
2024-01-16,41194.169606372714
2024-01-17,41145.94834521047
2024-01-18,41099.893071185594
2024-01-19,41052.536623386215
2024-01-20,41006.87445463794
2024-01-21,40960.31170881707
2024-01-22,40915.08932038377
2024-01-23,40869.265159963215
2024-01-24,40824.51558388114
2024-01-25,40779.38688551709
2024-01-26,40735.13296977813
2024-01-27,40690.66560877818
2024-01-28,40646.92260524811
2024-01-29,40603.08921449314
2024-01-30,40559.86671506017
2024-01-31,40516.64500775638
2024-02-01,40473.948392783444
2024-02-02,40431.31990711617
2024-02-03,40389.15142896825
2024-02-04,40347.10058845691
2024-02-05,40305.46018196936
2024-02-06,40263.9735920563
2024-02-07,40222.859480685176
2024-02-08,40181.92540209552
2024-02-09,40141.33455118638
2024-02-10,40100.94250556435
2024-02-11,40060.87096122815
2024-02-12,40021.01143575595
2024-02-13,39981.45457815179
2024-02-14,39942.118804237936
2024-02-15,39903.071536812655
2024-02-16,39864.25132420824
2024-02-17,39825.70821501813
2024-02-18,39787.39582741169
2024-02-19,39749.351214592214
2024-02-20,39711.53927624562
2024-02-21,39673.987346657814
2024-02-22,39636.66877227274
2024-02-23,39599.603620081936
2024-02-24,39562.77156205273
2024-02-25,39526.187232294884
2024-02-26,39489.83504097458
2024-02-27,39453.72556189252
2024-02-28,39417.846755599734
2024-02-29,39382.206162579874
2024-03-01,39346.79440489782
2024-03-02,39311.61675812507
2024-03-03,39276.6658406605
2024-03-04,39241.945238075896
2024-03-05,39207.449067306865
2024-03-06,39173.17965405381
2024-03-07,39139.13224124015
2024-03-08,39105.30821648636
2024-03-09,39071.70366987522
2024-03-10,39038.31929167414
2024-03-11,39005.151810426
2024-03-12,38972.20139911449
2024-03-13,38939.46526851972
2024-03-14,38906.9432090235
2024-03-15,38874.63279668763
2024-03-16,38842.53354001252
2024-03-17,38810.64329276953
2024-03-18,38778.96135688657
2024-03-19,38747.48579825988
2024-03-20,38716.21576853977
2024-03-21,38685.14949661607
2024-03-22,38654.2860259295
2024-03-23,38623.62371154442
2024-03-24,38593.16152011514
2024-03-25,38562.89790527522
2024-03-26,38532.831780351196
2024-03-27,38502.96167683543
2024-03-28,38473.286472226464
2024-03-29,38443.8047603252
2024-03-30,38414.51539584369
2024-03-31,38385.417023202914
2024-04-01,38356.50848403476
2024-04-02,38327.78846458216
2024-04-03,38299.25580060819
2024-04-04,38270.90921354304
2024-04-05,38242.74753862607
2024-04-06,38214.7695274596
2024-04-07,38186.97401870853
2024-04-08,38159.35979034466
2024-04-09,38131.92568736394
2024-04-10,38104.6705112129
2024-04-11,38077.59311534367
2024-04-12,38050.69232246281
2024-04-13,38023.966996020405
2024-04-14,37997.41597827781
2024-04-15,37971.03814378903
2024-04-16,37944.83235304683
