Tanggal,Low_interpolated
2024-01-01,42339.07721857965
2024-01-02,42746.89458069809
2024-01-03,43360.68991150129
2024-01-04,43829.46429883853
2024-01-05,44309.49753513196
2024-01-06,43695.94855383221
2024-01-07,43954.44745158676
2024-01-08,44545.11368491199
2024-01-09,45016.91461631729
2024-01-10,44893.971623647005
2024-01-11,46121.10753696526
2024-01-12,46493.94068613907
2024-01-13,46592.21593281143
2024-01-14,46561.66074310877
2024-01-15,47076.82385855172
2024-01-16,47581.979543235546
2024-01-17,48279.623773679734
2024-01-18,49526.2527964886
2024-01-19,50087.382489795695
2024-01-20,50384.38005324225
2024-01-21,50719.59741697858
2024-01-22,51724.01004317296
2024-01-23,52084.793357870265
2024-01-24,52521.37731235661
2024-01-25,52571.01860784902
2024-01-26,53388.94585959394
2024-01-27,54070.26172091232
2024-01-28,54100.52082270213
2024-01-29,54229.141408706004
2024-01-30,54455.40254453678
2024-01-31,55081.482987848416
2024-02-01,55489.300349966856
2024-02-02,56103.09568077006
2024-02-03,56571.87006810728
2024-02-04,57051.903304400716
2024-02-05,56438.354323100975
2024-02-06,56696.85322085552
2024-02-07,57287.51945418075
2024-02-08,57759.320385586056
2024-02-09,57636.37739291577
2024-02-10,58863.513306234025
2024-02-11,59236.34645540783
2024-02-12,59334.62170208019
2024-02-13,59304.066512377525
2024-02-14,59819.22962782048
2024-02-15,60324.38531250431
2024-02-16,61022.0295429485
2024-02-17,62268.65856575737
2024-02-18,62829.78825906446
2024-02-19,63126.785822511
2024-02-20,63462.00318624734
2024-02-21,64466.41581244172
2024-02-22,64827.19912713902
2024-02-23,65263.78308162538
2024-02-24,65313.424377117786
2024-02-25,66131.3516288627
2024-02-26,66812.66749018109
2024-02-27,66842.9265919709
2024-02-28,66971.54717797476
2024-02-29,67197.80831380554
2024-03-01,67823.88875711718
2024-03-02,68231.7061192356
2024-03-03,68845.50145003882
2024-03-04,69314.27583737606
2024-03-05,69794.30907366949
2024-03-06,69180.76009236973
2024-03-07,69439.25899012428
2024-03-08,70029.92522344952
2024-03-09,70501.72615485481
2024-03-10,70378.78316218454
2024-03-11,71605.9190755028
2024-03-12,71978.75222467659
2024-03-13,72077.02747134893
2024-03-14,72046.47228164629
2024-03-15,72561.63539708925
2024-03-16,73066.79108177307
2024-03-17,73764.43531221726
2024-03-18,75011.06433502614
2024-03-19,75572.19402833322
2024-03-20,75869.19159177976
2024-03-21,76204.4089555161
2024-03-22,77208.82158171048
2024-03-23,77569.60489640778
2024-03-24,78006.18885089413
2024-03-25,78055.83014638656
2024-03-26,78873.75739813146
2024-03-27,79555.07325944984
2024-03-28,79585.33236123966
2024-03-29,79713.95294724352
2024-03-30,79940.2140830743
2024-03-31,80566.29452638593
2024-04-01,80974.11188850438
2024-04-02,81587.90721930758
2024-04-03,82056.68160664481
2024-04-04,82536.71484293825
2024-04-05,81923.16586163851
2024-04-06,82181.66475939304
2024-04-07,82772.33099271827
2024-04-08,83244.13192412358
2024-04-09,83121.1889314533
2024-04-10,84348.32484477155
2024-04-11,84721.15799394535
2024-04-12,84819.43324061771
2024-04-13,84788.87805091505
2024-04-14,85304.041166358
2024-04-15,85809.19685104184
2024-04-16,86506.84108148603
2024-04-17,87753.47010429489
2024-04-18,88314.59979760199
2024-04-19,88611.59736104854
2024-04-20,88946.81472478487
2024-04-21,89951.22735097923
2024-04-22,90312.01066567654
2024-04-23,90748.59462016291
2024-04-24,90798.23591565531
