,Open_ARIMA
2023-05-27,26530.67927694398
2023-05-28,26586.830050208613
2023-05-29,26642.63609032934
2023-05-30,26698.09951376749
2023-05-31,26753.22242399056
2023-06-01,26808.006911551965
2023-06-02,26862.455054170354
2023-06-03,26916.56891680837
2023-06-04,26970.35055175099
2023-06-05,27023.801998683368
2023-06-06,27076.92528476815
2023-06-07,27129.7224247224
2023-06-08,27182.195420893986
2023-06-09,27234.34626333751
2023-06-10,27286.176929889814
2023-06-11,27337.689386244954
2023-06-12,27388.885586028773
2023-06-13,27439.767470872983
2023-06-14,27490.33697048881
2023-06-15,27540.59600274017
2023-06-16,27590.546473716407
2023-06-17,27640.19027780458
2023-06-18,27689.52929776132
2023-06-19,27738.565404784218
2023-06-20,27787.300458582806
2023-06-21,27835.73630744907
2023-06-22,27883.87478832757
2023-06-23,27931.717726885072
2023-06-24,27979.266937579825
2023-06-25,28026.524223730354
2023-06-26,28073.491377583858
2023-06-27,28120.170180384168
2023-06-28,28166.562402439326
2023-06-29,28212.669803188703
2023-06-30,28258.494131269734
2023-07-01,28304.037124584236
2023-07-02,28349.30051036432
2023-07-03,28394.28600523789
2023-07-04,28438.995315293756
2023-07-05,28483.430136146337
2023-07-06,28527.592152999954
2023-07-07,28571.483040712756
2023-07-08,28615.10446386024
2023-07-09,28658.45807679837
2023-07-10,28701.54552372633
2023-07-11,28744.368438748872
2023-07-12,28786.928445938294
2023-07-13,28829.227159396036
2023-07-14,28871.266183313885
2023-07-15,28913.047112034837
2023-07-16,28954.571530113528
2023-07-17,28995.841012376364
2023-07-18,29036.857123981226
2023-07-19,29077.621420476833
2023-07-20,29118.135447861736
2023-07-21,29158.400742642963
2023-07-22,29198.41883189427
2023-07-23,29238.19123331407
2023-07-24,29277.719455282993
2023-07-25,29317.00499692108
2023-07-26,29356.049348144657
2023-07-27,29394.853989722815
2023-07-28,29433.420393333592
2023-07-29,29471.750021619777
2023-07-30,29509.844328244377
2023-07-31,29547.704757945754
2023-08-01,29585.33274659242
2023-08-02,29622.72972123748
2023-08-03,29659.897100172766
2023-08-04,29696.83629298262
2023-08-05,29733.548700597363
2023-08-06,29770.035715346403
2023-08-07,29806.298721011062
2023-08-08,29842.339092877053
2023-08-09,29878.15819778662
2023-08-10,29913.757394190397
2023-08-11,29949.138032198927
2023-08-12,29984.30145363385
2023-08-13,30019.248992078792
2023-08-14,30053.981972929967
2023-08-15,30088.501713446414
2023-08-16,30122.809522799977
2023-08-17,30156.90670212493
2023-08-18,30190.794544567347
2023-08-19,30224.474335334144
2023-08-20,30257.947351741794
2023-08-21,30291.214863264802
2023-08-22,30324.278131583837
2023-08-23,30357.138410633575
2023-08-24,30389.79694665026
2023-08-25,30422.25497821898
2023-08-26,30454.513736320623
2023-08-27,30486.57444437856
2023-08-28,30518.438318305067
2023-08-29,30550.106566547416
2023-08-30,30581.580390133724
2023-08-31,30612.86098271848
2023-09-01,30643.94953062784
2023-09-02,30674.8472129046
2023-09-03,30705.55520135291
2023-09-04,30736.074660582737
2023-09-05,30766.40674805401
2023-09-06,30796.552614120534
2023-09-07,30826.5134020736
2023-09-08,30856.290248185367
2023-09-09,30885.884281751925
2023-09-10,30915.296625136154
2023-09-11,30944.528393810277
2023-09-12,30973.580696398163
2023-09-13,31002.454634717375
2023-09-14,31031.151303820956
2023-09-15,31059.671792038956
2023-09-16,31088.017181019717
2023-09-17,31116.18854577088
2023-09-18,31144.18695470017
2023-09-19,31172.013469655903
2023-09-20,31199.669145967273
2023-09-21,31227.155032484356
2023-09-22,31254.472171617897
2023-09-23,31281.621599378854
2023-09-24,31308.60434541767
2023-09-25,31335.421433063333
2023-09-26,31362.07387936219
2023-09-27,31388.56269511651
2023-09-28,31414.888884922824
2023-09-29,31441.053447210026
2023-09-30,31467.057374277236
2023-10-01,31492.901652331428
2023-10-02,31518.587261524845
2023-10-03,31544.115175992156
2023-10-04,31569.486363887423
2023-10-05,31594.701787420785
2023-10-06,31619.762402894983
2023-10-07,31644.669160741614
2023-10-08,31669.42300555717
2023-10-09,31694.02487613888
2023-10-10,31718.475705520286
2023-10-11,31742.776421006663
2023-10-12,31766.927944210158
2023-10-13,31790.93119108476
2023-10-14,31814.78707196104
2023-10-15,31838.49649158065
2023-10-16,31862.060349130665
2023-10-17,31885.479538277672
2023-10-18,31908.75494720167
2023-10-19,31931.88745862973
2023-10-20,31954.87794986952
2023-10-21,31977.727292842515
2023-10-22,32000.43635411713
2023-10-23,32023.005994941526
2023-10-24,32045.437071276323
2023-10-25,32067.730433827022
2023-10-26,32089.8869280763
2023-10-27,32111.90739431605
2023-10-28,32133.79266767927
2023-10-29,32155.54357817172
2023-10-30,32177.16095070341
2023-10-31,32198.64560511988
2023-11-01,32219.998356233293
2023-11-02,32241.22001385334
2023-11-03,32262.311382817956
2023-11-04,32283.273263023824
2023-11-05,32304.106449456744
2023-11-06,32324.81173222175
2023-11-07,32345.389896573102
2023-11-08,32365.841722944042
2023-11-09,32386.167986976416
2023-11-10,32406.36945955007
2023-11-11,32426.446906812107
2023-11-12,32446.40109020592
2023-11-13,32466.232766500092
2023-11-14,32485.942687817074
2023-11-15,32505.531601661733
2023-11-16,32525.000250949684
2023-11-17,32544.34937403548
2023-11-18,32563.57970474059
2023-11-19,32582.69197238126
2023-11-20,32601.68690179615
2023-11-21,32620.56521337384
2023-11-22,32639.32762308013
2023-11-23,32657.974842485215
2023-11-24,32676.507578790653
