,Open_TES
2023-05-27,26789.070139012038
2023-05-28,27347.441676041046
2023-05-29,27397.07879245239
2023-05-30,27190.6551052179
2023-05-31,27259.141324754084
2023-06-01,26677.842586744056
2023-06-02,26970.266552609515
2023-06-03,27126.445481700048
2023-06-04,27194.145811805734
2023-06-05,27620.376233833853
2023-06-06,27205.42195371329
2023-06-07,26907.224269016882
2023-06-08,26431.13667805404
2023-06-09,26557.838269348067
2023-06-10,26924.240580858226
2023-06-11,26982.095420568083
2023-06-12,27237.260880626003
2023-06-13,27656.41051797586
2023-06-14,27917.03004851119
2023-06-15,28207.498510522288
2023-06-16,28632.286947447334
2023-06-17,28668.420273509037
2023-06-18,28814.095973225263
2023-06-19,28539.727430204406
2023-06-20,28613.545586998753
2023-06-21,28108.381925839883
2023-06-22,28415.155652459867
2023-06-23,28458.848991465045
2023-06-24,27913.954330662433
2023-06-25,28579.06324904901
2023-06-26,28394.278311770482
2023-06-27,28952.64984879949
2023-06-28,29002.286965210835
2023-06-29,28795.863277976343
2023-06-30,28864.34949751253
2023-07-01,28283.0507595025
2023-07-02,28575.47472536796
2023-07-03,28731.653654458492
2023-07-04,28799.35398456418
2023-07-05,29225.584406592297
2023-07-06,28810.630126471733
2023-07-07,28512.432441775327
2023-07-08,28036.344850812486
2023-07-09,28163.04644210651
2023-07-10,28529.44875361667
2023-07-11,28587.303593326527
2023-07-12,28842.469053384448
2023-07-13,29261.618690734304
2023-07-14,29522.238221269636
2023-07-15,29812.706683280732
2023-07-16,30237.49512020578
2023-07-17,30273.62844626748
2023-07-18,30419.304145983708
2023-07-19,30144.93560296285
2023-07-20,30218.753759757197
2023-07-21,29713.590098598328
2023-07-22,30020.363825218312
2023-07-23,30064.05716422349
2023-07-24,29519.162503420877
2023-07-25,30184.271421807454
2023-07-26,29999.486484528927
2023-07-27,30557.858021557935
2023-07-28,30607.495137969283
2023-07-29,30401.071450734788
2023-07-30,30469.557670270973
2023-07-31,29888.258932260946
2023-08-01,30180.682898126404
