Tanggal,Open_interpolated
2024-01-01,56463.61461900303
2024-01-02,57752.92576670222
2024-01-03,58688.997430695454
2024-01-04,59999.324454925525
2024-01-05,60597.80654888572
2024-01-06,59127.55489978865
2024-01-07,56969.41287009997
2024-01-08,54756.02590064592
2024-01-09,51204.25989417386
2024-01-10,47013.94499278257
2024-01-11,40619.82824302917
2024-01-12,35313.320940326696
2024-01-13,29811.53014426634
2024-01-14,22902.674101067394
2024-01-15,15871.919514606287
2024-01-16,8323.149039795262
2024-01-17,617.2761492416757
2024-01-18,-5802.101387837298
2024-01-19,-12676.04882014235
2024-01-20,-18417.255217456688
2024-01-21,-24751.703250559214
2024-01-22,-29235.395434948834
2024-01-23,-33698.877391610135
2024-01-24,-37273.89421838366
2024-01-25,-39342.94461074786
2024-01-26,-41476.51956614738
2024-01-27,-41394.02781274722
2024-01-28,-41325.77809201772
2024-01-29,-40459.03261971775
2024-01-30,-30847.799288964365
2024-01-31,-28981.253096604287
2024-02-01,-27691.941948905096
2024-02-02,-26755.870284911845
2024-02-03,-25445.54326068178
2024-02-04,-24847.061166721585
2024-02-05,-26317.31281581865
2024-02-06,-28475.454845507335
2024-02-07,-30688.841814961394
2024-02-08,-34240.60782143345
2024-02-09,-38430.92272282474
2024-02-10,-44825.03947257813
2024-02-11,-50131.54677528061
2024-02-12,-55633.33757134096
2024-02-13,-62542.193614539916
2024-02-14,-69572.94820100103
2024-02-15,-77121.71867581205
2024-02-16,-84827.59156636562
2024-02-17,-91246.9691034446
2024-02-18,-98120.91653574967
2024-02-19,-103862.12293306399
2024-02-20,-110196.57096616653
2024-02-21,-114680.26315055613
2024-02-22,-119143.74510721744
2024-02-23,-122718.76193399096
2024-02-24,-124787.81232635517
2024-02-25,-126921.3872817547
2024-02-26,-126838.89552835454
2024-02-27,-126770.64580762503
2024-02-28,-125903.90033532504
2024-02-29,-116292.66700457167
2024-03-01,-114426.12081221158
2024-03-02,-113136.8096645124
2024-03-03,-112200.73800051914
2024-03-04,-110890.41097628909
2024-03-05,-110291.92888232891
2024-03-06,-111762.18053142595
2024-03-07,-113920.32256111465
2024-03-08,-116133.7095305687
2024-03-09,-119685.47553704075
2024-03-10,-123875.79043843204
2024-03-11,-130269.90718818543
2024-03-12,-135576.4144908879
2024-03-13,-141078.20528694827
2024-03-14,-147987.06133014723
2024-03-15,-155017.81591660832
2024-03-16,-162566.58639141935
2024-03-17,-170272.45928197293
2024-03-18,-176691.8368190519
2024-03-19,-183565.78425135696
2024-03-20,-189306.9906486713
2024-03-21,-195641.43868177384
2024-03-22,-200125.13086616344
2024-03-23,-204588.61282282474
2024-03-24,-208163.62964959827
2024-03-25,-210232.68004196248
2024-03-26,-212366.25499736198
2024-03-27,-212283.76324396185
2024-03-28,-212215.51352323234
2024-03-29,-211348.76805093235
2024-03-30,-201737.53472017898
2024-03-31,-199870.9885278189
2024-04-01,-198581.6773801197
2024-04-02,-197645.60571612645
2024-04-03,-196335.27869189638
2024-04-04,-195736.79659793622
2024-04-05,-197207.04824703326
2024-04-06,-199365.19027672193
2024-04-07,-201578.57724617602
2024-04-08,-205130.34325264808
2024-04-09,-209320.65815403935
2024-04-10,-215714.7749037927
2024-04-11,-221021.28220649523
2024-04-12,-226523.07300255558
2024-04-13,-233431.9290457545
2024-04-14,-240462.68363221566
2024-04-15,-248011.45410702666
2024-04-16,-255717.32699758024
2024-04-17,-262136.7045346592
2024-04-18,-269010.6519669643
2024-04-19,-274751.8583642786
2024-04-20,-281086.3063973811
2024-04-21,-285569.9985817708
2024-04-22,-290033.4805384321
2024-04-23,-293608.49736520555
2024-04-24,-295677.54775756976
2024-04-25,-297811.1227129693
2024-04-26,-297728.6309595691
2024-04-27,-297660.38123883965
2024-04-28,-296793.6357665396
2024-04-29,-287182.40243578627
2024-04-30,-285315.8562434262
2024-05-01,-284026.54509572696
2024-05-02,-283090.4734317338
2024-05-03,-281780.14640750375
2024-05-04,-281181.6643135435
2024-05-05,-282651.9159626406
2024-05-06,-284810.0579923293
2024-05-07,-287023.4449617833
2024-05-08,-290575.21096825536
2024-05-09,-294765.5258696467
2024-05-10,-301159.64261940005
2024-05-11,-306466.1499221026
2024-05-12,-311967.94071816286
2024-05-13,-318876.7967613618
2024-05-14,-325907.55134782294
2024-05-15,-333456.3218226339
2024-05-16,-341162.1947131875
2024-05-17,-347581.57225026656
2024-05-18,-354455.5196825715
2024-05-19,-360196.7260798859
2024-05-20,-366531.1741129885
2024-05-21,-371014.86629737803
2024-05-22,-375478.34825403936
2024-05-23,-379053.36508081283
2024-05-24,-381122.4154731771
2024-05-25,-383255.99042857665
2024-05-26,-383173.4986751764
2024-05-27,-383105.2489544469
2024-05-28,-382238.503482147
2024-05-29,-372627.27015139355
2024-05-30,-370760.7239590335
2024-05-31,-369471.41281133436
2024-06-01,-368535.34114734107
2024-06-02,-367225.01412311103
2024-06-03,-366626.53202915087
2024-06-04,-368096.7836782479
2024-06-05,-370254.9257079366
2024-06-06,-372468.3126773906
2024-06-07,-376020.07868386264
2024-06-08,-380210.393585254
2024-06-09,-386604.51033500733
2024-06-10,-391911.01763770985
2024-06-11,-397412.80843377026
2024-06-12,-404321.6644769691
2024-06-13,-411352.4190634302
2024-06-14,-418901.1895382413
2024-06-15,-426607.0624287948
2024-06-16,-433026.43996587384
2024-06-17,-439900.3873981789
2024-06-18,-445641.5937954932
2024-06-19,-451976.0418285958
2024-06-20,-456459.7340129853
2024-06-21,-460923.21596964664
2024-06-22,-464498.2327964202
2024-06-23,-466567.2831887844
2024-06-24,-468700.85814418393
2024-06-25,-468618.3663907838
2024-06-26,-468550.1166700542
2024-06-27,-467683.3711977543
2024-06-28,-458072.13786700094
2024-06-29,-456205.5916746408
2024-06-30,-454916.28052694164
2024-07-01,-453980.20886294835
2024-07-02,-452669.8818387183
2024-07-03,-452071.39974475815
2024-07-04,-453541.65139385517
2024-07-05,-455699.79342354386
2024-07-06,-457913.18039299786
2024-07-07,-461464.9463994699
2024-07-08,-465655.26130086125
2024-07-09,-472049.3780506146
