Date,Close,year,month,day,Year
2021-01-01,29374.152344,2021,1,1,2021
2021-01-02,32127.267578,2021,1,2,2021
2021-01-03,32782.023438,2021,1,3,2021
2021-01-04,31971.914063,2021,1,4,2021
2021-01-05,33992.429688,2021,1,5,2021
2021-01-06,36824.363281,2021,1,6,2021
2021-01-07,39371.042969,2021,1,7,2021
2021-01-08,40797.609375,2021,1,8,2021
2021-01-09,40254.546875,2021,1,9,2021
2021-01-10,38356.441406,2021,1,10,2021
2021-01-11,35566.65625,2021,1,11,2021
2021-01-12,33922.960938,2021,1,12,2021
2021-01-13,37316.359375,2021,1,13,2021
2021-01-14,39187.328125,2021,1,14,2021
2021-01-15,36825.367188,2021,1,15,2021
2021-01-16,36178.140625,2021,1,16,2021
2021-01-17,35791.277344,2021,1,17,2021
2021-01-18,36630.074219,2021,1,18,2021
2021-01-19,36069.804688,2021,1,19,2021
2021-01-20,35547.75,2021,1,20,2021
2021-01-21,30825.699219,2021,1,21,2021
2021-01-22,33005.761719,2021,1,22,2021
2021-01-23,32067.642578,2021,1,23,2021
2021-01-24,32289.378906,2021,1,24,2021
2021-01-25,32366.392578,2021,1,25,2021
2021-01-26,32569.849609,2021,1,26,2021
2021-01-27,30432.546875,2021,1,27,2021
2021-01-28,33466.097656,2021,1,28,2021
2021-01-29,34316.386719,2021,1,29,2021
2021-01-30,34269.523438,2021,1,30,2021
2021-01-31,33114.359375,2021,1,31,2021
2021-02-01,33537.175781,2021,2,1,2021
2021-02-02,35510.289063,2021,2,2,2021
2021-02-03,37472.089844,2021,2,3,2021
2021-02-04,36926.066406,2021,2,4,2021
2021-02-05,38144.308594,2021,2,5,2021
2021-02-06,39266.011719,2021,2,6,2021
2021-02-07,38903.441406,2021,2,7,2021
2021-02-08,46196.464844,2021,2,8,2021
2021-02-09,46481.105469,2021,2,9,2021
2021-02-10,44918.183594,2021,2,10,2021
2021-02-11,47909.332031,2021,2,11,2021
2021-02-12,47504.851563,2021,2,12,2021
2021-02-13,47105.515625,2021,2,13,2021
2021-02-14,48717.289063,2021,2,14,2021
2021-02-15,47945.058594,2021,2,15,2021
2021-02-16,49199.871094,2021,2,16,2021
2021-02-17,52149.007813,2021,2,17,2021
2021-02-18,51679.796875,2021,2,18,2021
2021-02-19,55888.132813,2021,2,19,2021
2021-02-20,56099.519531,2021,2,20,2021
2021-02-21,57539.945313,2021,2,21,2021
2021-02-22,54207.320313,2021,2,22,2021
2021-02-23,48824.425781,2021,2,23,2021
2021-02-24,49705.332031,2021,2,24,2021
2021-02-25,47093.851563,2021,2,25,2021
2021-02-26,46339.761719,2021,2,26,2021
2021-02-27,46188.453125,2021,2,27,2021
2021-02-28,45137.769531,2021,2,28,2021
2021-03-01,49631.242188,2021,3,1,2021
2021-03-02,48378.988281,2021,3,2,2021
2021-03-03,50538.242188,2021,3,3,2021
2021-03-04,48561.167969,2021,3,4,2021
2021-03-05,48927.304688,2021,3,5,2021
2021-03-06,48912.382813,2021,3,6,2021
2021-03-07,51206.691406,2021,3,7,2021
2021-03-08,52246.523438,2021,3,8,2021
2021-03-09,54824.117188,2021,3,9,2021
2021-03-10,56008.550781,2021,3,10,2021
2021-03-11,57805.121094,2021,3,11,2021
2021-03-12,57332.089844,2021,3,12,2021
2021-03-13,61243.085938,2021,3,13,2021
2021-03-14,59302.316406,2021,3,14,2021
2021-03-15,55907.199219,2021,3,15,2021
2021-03-16,56804.902344,2021,3,16,2021
2021-03-17,58870.894531,2021,3,17,2021
2021-03-18,57858.921875,2021,3,18,2021
2021-03-19,58346.652344,2021,3,19,2021
2021-03-20,58313.644531,2021,3,20,2021
2021-03-21,57523.421875,2021,3,21,2021
2021-03-22,54529.144531,2021,3,22,2021
2021-03-23,54738.945313,2021,3,23,2021
2021-03-24,52774.265625,2021,3,24,2021
2021-03-25,51704.160156,2021,3,25,2021
2021-03-26,55137.3125,2021,3,26,2021
2021-03-27,55973.511719,2021,3,27,2021
2021-03-28,55950.746094,2021,3,28,2021
2021-03-29,57750.199219,2021,3,29,2021
2021-03-30,58917.691406,2021,3,30,2021
